id	name	count	talkid
9	'Ingenious'	120	UuRxRGR3VpM
10	'Inspiring'	297	UuRxRGR3VpM
21	'Unconvincing'	53	UuRxRGR3VpM
3	'Courageous'	42	UuRxRGR3VpM
23	'Jaw-dropping'	50	UuRxRGR3VpM
24	'Persuasive'	115	UuRxRGR3VpM
25	'OK'	114	UuRxRGR3VpM
26	'Obnoxious'	13	UuRxRGR3VpM
10	'Inspiring'	333	kMTCNOlozTA
22	'Fascinating'	221	kMTCNOlozTA
8	'Informative'	620	kMTCNOlozTA
9	'Ingenious'	254	kMTCNOlozTA
21	'Unconvincing'	67	kMTCNOlozTA
1	'Beautiful'	10	kMTCNOlozTA
11	'Longwinded'	45	kMTCNOlozTA
3	'Courageous'	63	kMTCNOlozTA
7	'Funny'	40	kMTCNOlozTA
2	'Confusing'	38	kMTCNOlozTA
24	'Persuasive'	375	kMTCNOlozTA
25	'OK'	46	kMTCNOlozTA
26	'Obnoxious'	17	kMTCNOlozTA
23	'Jaw-dropping'	123	kMTCNOlozTA
22	'Fascinating'	3710	NA
9	'Ingenious'	1944	NA
8	'Informative'	340	NA
10	'Inspiring'	817	NA
1	'Beautiful'	429	NA
7	'Funny'	2152	NA
2	'Confusing'	168	NA
21	'Unconvincing'	84	NA
11	'Longwinded'	114	NA
3	'Courageous'	182	NA
23	'Jaw-dropping'	7196	NA
25	'OK'	314	NA
24	'Persuasive'	128	NA
26	'Obnoxious'	151	NA
8	'Informative'	515	NA
21	'Unconvincing'	59	NA
1	'Beautiful'	233	NA
22	'Fascinating'	246	NA
10	'Inspiring'	830	NA
3	'Courageous'	111	NA
11	'Longwinded'	67	NA
2	'Confusing'	39	NA
7	'Funny'	38	NA
9	'Ingenious'	48	NA
24	'Persuasive'	255	NA
25	'OK'	140	NA
23	'Jaw-dropping'	30	NA
26	'Obnoxious'	12	NA
11	'Longwinded'	13	rG6xlKzFFrI
21	'Unconvincing'	45	rG6xlKzFFrI
10	'Inspiring'	288	rG6xlKzFFrI
1	'Beautiful'	330	rG6xlKzFFrI
2	'Confusing'	9	rG6xlKzFFrI
3	'Courageous'	82	rG6xlKzFFrI
22	'Fascinating'	25	rG6xlKzFFrI
9	'Ingenious'	11	rG6xlKzFFrI
7	'Funny'	13	rG6xlKzFFrI
24	'Persuasive'	53	rG6xlKzFFrI
25	'OK'	75	rG6xlKzFFrI
8	'Informative'	12	rG6xlKzFFrI
23	'Jaw-dropping'	5	rG6xlKzFFrI
26	'Obnoxious'	18	rG6xlKzFFrI
10	'Inspiring'	1035	C-VacaaN75o
8	'Informative'	960	C-VacaaN75o
7	'Funny'	1210	C-VacaaN75o
3	'Courageous'	598	C-VacaaN75o
9	'Ingenious'	422	C-VacaaN75o
22	'Fascinating'	371	C-VacaaN75o
21	'Unconvincing'	238	C-VacaaN75o
11	'Longwinded'	70	C-VacaaN75o
2	'Confusing'	61	C-VacaaN75o
1	'Beautiful'	78	C-VacaaN75o
24	'Persuasive'	1414	C-VacaaN75o
25	'OK'	378	C-VacaaN75o
23	'Jaw-dropping'	82	C-VacaaN75o
26	'Obnoxious'	37	C-VacaaN75o
10	'Inspiring'	3528	E11cDEr272Y
7	'Funny'	1302	E11cDEr272Y
3	'Courageous'	1696	E11cDEr272Y
21	'Unconvincing'	82	E11cDEr272Y
1	'Beautiful'	1148	E11cDEr272Y
2	'Confusing'	28	E11cDEr272Y
9	'Ingenious'	292	E11cDEr272Y
22	'Fascinating'	916	E11cDEr272Y
11	'Longwinded'	58	E11cDEr272Y
8	'Informative'	447	E11cDEr272Y
23	'Jaw-dropping'	426	E11cDEr272Y
26	'Obnoxious'	63	E11cDEr272Y
24	'Persuasive'	899	E11cDEr272Y
25	'OK'	140	E11cDEr272Y
7	'Funny'	1452	NA
9	'Ingenious'	114	NA
3	'Courageous'	84	NA
21	'Unconvincing'	74	NA
2	'Confusing'	16	NA
8	'Informative'	120	NA
22	'Fascinating'	40	NA
10	'Inspiring'	34	NA
11	'Longwinded'	34	NA
1	'Beautiful'	18	NA
25	'OK'	143	NA
26	'Obnoxious'	94	NA
23	'Jaw-dropping'	39	NA
24	'Persuasive'	44	NA
22	'Fascinating'	884	ukS4UjCauUs
8	'Informative'	868	ukS4UjCauUs
10	'Inspiring'	120	ukS4UjCauUs
2	'Confusing'	16	ukS4UjCauUs
9	'Ingenious'	154	ukS4UjCauUs
1	'Beautiful'	65	ukS4UjCauUs
11	'Longwinded'	61	ukS4UjCauUs
7	'Funny'	41	ukS4UjCauUs
3	'Courageous'	19	ukS4UjCauUs
24	'Persuasive'	42	ukS4UjCauUs
23	'Jaw-dropping'	74	ukS4UjCauUs
25	'OK'	114	ukS4UjCauUs
21	'Unconvincing'	10	ukS4UjCauUs
26	'Obnoxious'	4	ukS4UjCauUs
